COUNTRYNAME,LANDSIZE,POP,GDP,GDPPER
Djibouti,"23,200"," 988,000 "," $3,836.00 "," $3,882.59 "
Belize,"22,966"," 397,628 "," $1,991.00 "," $5,007.19 "
El Salvador,"21,041"," 6,486,205 "," $30,720.00 "," $4,736.21 "
Israel,"20,770"," 8,655,535 "," $520,703.00 "," $60,158.38 "
Slovenia,"20,273"," 2,078,938 "," $63,647.00 "," $30,615.15 "
Fiji,"18,272"," 896,445 "," $5,172.00 "," $5,769.46 "
Kuwait,"17,818"," 4,270,571 "," $186,610.00 "," $43,696.73 "
Eswatini,"17,364"," 1,160,164 "," $4,646.00 "," $4,004.61 "
Bahamas,"13,943"," 393,244 "," $12,627.00 "," $32,109.84 "
Montenegro,"13,812"," 628,066 "," $6,018.00 "," $9,581.80 "
Vanuatu,"12,189"," 307,145 "," $1,015.00 "," $3,304.63 "
Qatar,"11,586"," 2,881,053 "," $225,716.00 "," $78,344.97 "
Gambia,"11,295"," 2,416,668 "," $2,166.00 ", $896.28 
Jamaica,"10,991"," 2,961,167 "," $15,721.00 "," $5,309.06 "
Lebanon,"10,452"," 6,825,445 "," $27,320.00 "," $4,002.67 "
Cyprus,"9,251"," 1,207,359 "," $27,726.00 "," $22,964.17 "
